Deck,MVZ,Room_Name,Zone_Code,Type,Danger_Level
DKDB,1,Aft Ballast Tank — Port,112,technical,low
DKDB,1,Aft Ballast Tank — Stbd,113,technical,low
DKDB,1,Aft Peak Tank,111,technical,low
DKDB,2,Double Bottom — Ballast Tank FWD PORT,DKDB-T-011,technical,low
DKDB,2,Double Bottom — Ballast Tank FWD STBD,DKDB-T-012,technical,low
DKDB,2,Double Bottom — Heated Water Tank,DKDB-T-010,technical,medium
DKDB,2,Mid Fuel Oil Tank — Port,121,technical,high
DKDB,2,Mid Fuel Oil Tank — Stbd,122,technical,high
DKDB,3,Ballast Tank — Mid,125,technical,low
DKDB,3,Double Bottom — Fresh Water Tank PORT,DKDB-T-008,technical,low
DKDB,3,Double Bottom — Fresh Water Tank STBD,DKDB-T-009,technical,low
DKDB,3,Double Bottom — Fuel Oil Tank MFO 2,DKDB-T-007,technical,high
DKDB,3,Freshwater Tank — Mid Port,123,technical,low
DKDB,3,Freshwater Tank — Mid Stbd,124,technical,low
DKDB,4,Double Bottom — Ballast Tank MID PORT,DKDB-T-004,technical,low
DKDB,4,Double Bottom — Ballast Tank MID STBD,DKDB-T-005,technical,low
DKDB,4,Double Bottom — Fuel Oil Tank MFO 1,DKDB-T-006,technical,high
DKDB,4,Forward Fuel Oil Tank — Port,131,technical,high
DKDB,4,Forward Fuel Oil Tank — Stbd,132,technical,high
DKDB,5,Double Bottom — Ballast Tank AFT PORT,DKDB-T-001,technical,low
DKDB,5,Double Bottom — Ballast Tank AFT STBD,DKDB-T-002,technical,low
DKDB,5,Double Bottom — Fuel Oil Tank AFT,DKDB-T-003,technical,high
DKDB,5,Double Bottom — Void Space FWD,DKDB-T-013,technical,low
DKDB,5,Forward Peak Tank,135,technical,low
DK01,1,Aft Engine Room — Azipod/Thruster Bay,212,machinery,high
DK01,1,Chain Locker,DK01-T-004,technical,low
DK01,1,Fuel Oil Tank — Aft Port,114,technical,high
DK01,1,Fuel Oil Tank — Aft Stbd,115,technical,high
DK01,1,Incinerator Room,231,machinery,high
DK01,1,Port Stern Tube / Shaft Seals,221,machinery,high
DK01,1,Propulsion — Bow Thruster Room,DK01-M-008,machinery,high
DK01,1,Rope Store / Bosun's Locker,DK01-S-003,storage,medium
DK01,1,Stbd Stern Tube / Shaft Seals,223,machinery,high
DK01,1,Thruster Room FWD PORT,DK01-M-013,machinery,high
DK01,1,Thruster Room FWD STBD,DK01-M-014,machinery,high
DK01,2,Engine Room — Provision Stores,DK01-S-002,storage,low
DK01,2,Fuel Oil Daily Service Tank — Port,233,machinery,high
DK01,2,Fuel Oil Daily Service Tank — Stbd,234,machinery,high
DK01,2,Fuel Oil Purifier Room,224,machinery,high
DK01,2,Lubricating Oil Treatment Room,225,machinery,high
DK01,2,Main Engine Room — Central,214,machinery,high
DK01,2,Main Engine Room — Section Aft,213,machinery,high
DK01,3,Air Conditioning Plant Room,243,technical,medium
DK01,3,Air Conditioning Plant Room — Stbd,245,technical,medium
DK01,3,Engine Room — Main Switchboard Room PORT,DK01-E-001,technical,high
DK01,3,Engine Room — Main Switchboard Room STBD,DK01-E-002,technical,high
DK01,3,Engine Room — Sewage Treatment Plant,DK01-T-002,technical,medium
DK01,3,Engine Room — Workshop,DK01-T-003,technical,medium
DK01,3,Main Engine Room — Fwd Section,215,machinery,high
DK01,4,Double Bottom — Fuel Oil Tank MFO 1,DKDB-T-006,technical,high
DK01,4,Engine Room — Generator Room No.3,DK01-M-004,machinery,high
DK01,4,Engine Room — Generator Room No.4,DK01-M-005,machinery,high
DK01,4,Engine Room — Lube Oil Store,DK01-S-001,storage,high
DK01,4,Engine Room — Main Machinery Space,DK01-M-001,machinery,high
DK01,4,Engine Room — Purifier Room,DK01-M-009,machinery,high
DK01,4,Gas Bottle Store,DK01-S-004,storage,high
DK01,5,Bow Thruster Room — Port,114,machinery,high
DK01,5,Bow Thruster Room — Stbd,115,machinery,high
DK01,5,Engine Room — CO2 Room,DK01-T-001,technical,high
DK01,5,Engine Room — Generator Room No.1,DK01-M-002,machinery,high
DK01,5,Engine Room — Generator Room No.2,DK01-M-003,machinery,high
DK01,5,Engine Room — Incinerator Room,DK01-M-012,machinery,high
DK01,5,Engine Room — Void Space PORT,DK01-T-005,technical,low
DK01,5,Engine Room — Void Space STBD,DK01-T-006,technical,low
DK01,5,Forepeak / Chain Locker,111,technical,low
DK01,5,Forepeak Store / Bosun,124,storage,low
DK01,5,Propulsion — Thruster Room AFT PORT,DK01-M-006,machinery,high
DK01,5,Propulsion — Thruster Room AFT STBD,DK01-M-007,machinery,high
DK01,5,Staircase AFT DK01,DK01-T-007,technical,low
DK02,1,Aft Mooring / Technical Space — DK02,365,technical,medium
DK02,1,Crew Accommodation — Cabin C05 PORT,DK02-A-005,accommodation,medium
DK02,1,Crew Accommodation — Cabin C06 STBD,DK02-A-006,accommodation,medium
DK02,1,Crew Accommodation — Cabin C07,DK02-A-007,accommodation,medium
DK02,1,Crew Accommodation — Cabin C08,DK02-A-008,accommodation,medium
DK02,1,HVAC — Air Handling Unit Room FWD,DK02-T-007,technical,medium
DK02,2,Crew Accommodation — Cabin C01 PORT,DK02-A-001,accommodation,medium
DK02,2,Crew Accommodation — Cabin C02 STBD,DK02-A-002,accommodation,medium
DK02,2,Crew Accommodation — Cabin C03 PORT,DK02-A-003,accommodation,medium
DK02,2,Crew Accommodation — Cabin C04 STBD,DK02-A-004,accommodation,medium
DK02,2,Crew Mess,DK02-P-001,public,medium
DK02,2,Crew Office,DK02-T-005,technical,low
DK02,2,Fuel Oil Transfer / Day Tanks,233,machinery,high
DK02,2,Medical Centre,DK02-M-001,medical,medium
DK02,2,Service Alleyway PORT DK02,DK02-T-001,technical,low
DK02,2,Service Alleyway STBD DK02,DK02-T-002,technical,low
DK02,2,Shaft Tunnel — Port,221,machinery,high
DK02,2,Shaft Tunnel — Starboard,225,machinery,high
DK02,2,Spare Parts Store,423,storage,medium
DK02,2,Workshop — Electrical,421,technical,high
DK02,2,Workshop — Mechanical,422,technical,high
DK02,3,Air Conditioning Plant Room,243,technical,medium
DK02,3,Crew Galley,DK02-G-001,galley,high
DK02,3,Electrical — UPS Room,DK02-E-003,technical,high
DK02,3,Freshwater Generator Room,245,machinery,medium
DK02,3,Laundry / Linen Store,253,service,medium
DK02,3,Laundry Room,DK02-T-003,technical,medium
DK02,3,Medical Centre — Sick Bay,334,medical,medium
DK02,3,Medical Store / Pharmacy,335,medical,medium
DK02,3,Pool Technical Room,DK02-T-004,technical,medium
DK02,3,Sewage Treatment Plant,243,technical,medium
DK02,3,Water Maker Room,DK02-T-009,technical,medium
DK02,4,Electrical Switchboard Room — Fwd Port,314,technical,high
DK02,4,Electrical Switchboard Room — Fwd Stbd,315,technical,high
